action,cp_id,payment_id,payment_key,client_name,amount,payment_date,payment_method,source,new_reserve,rule
review_only,24238,,,,231.00,2025-08-26,unknown,fix_script,,
review_only,24239,,,,21.00,2025-10-09,unknown,fix_script,,
review_only,24240,,,,848.10,2025-05-29,unknown,fix_script,,
review_only,24241,,,,177.18,2025-09-08,unknown,fix_script,,
review_only,24242,24909,,,280.00,2025-06-18,unknown,fix_script,,
review_only,24244,,,,205.00,2025-06-02,unknown,fix_script,,
review_only,24246,,,,880.50,2025-06-16,unknown,fix_script,,
review_only,24249,25063,,,468.00,2025-07-15,unknown,fix_script,,
review_only,24251,,,,730.00,2025-08-13,unknown,fix_script,,
review_only,24252,,,,1000.00,2025-10-10,unknown,fix_script,,
review_only,24253,,,,90.00,2025-08-22,unknown,fix_script,,
review_only,24255,,,,347.72,2025-05-07,unknown,fix_script,,
review_only,24257,24899,,,42.00,2025-06-16,unknown,fix_script,,
review_only,24258,,,,250.00,2025-10-01,unknown,fix_script,,
review_only,24261,,,,205.00,2025-09-03,unknown,fix_script,,
review_only,24263,,,,479.64,2025-06-27,unknown,fix_script,,
review_only,24266,,,,325.08,2025-07-04,unknown,fix_script,,
review_only,24268,24851,,,57.50,2025-06-06,unknown,fix_script,,
review_only,24269,,,,-243.60,2025-09-10,unknown,fix_script,,
review_only,24270,,,,306.00,2025-09-10,unknown,fix_script,,
review_only,24273,,,,500.00,2025-06-30,unknown,fix_script,,
review_only,24277,,,,205.00,2025-08-25,unknown,fix_script,,
review_only,24278,25029,,,66.15,2025-07-04,unknown,fix_script,,
review_only,24279,,,,270.00,2025-10-31,unknown,fix_script,,
review_only,24281,,,,75.00,2025-04-07,unknown,fix_script,,
review_only,24284,,,,491.20,2025-03-17,unknown,fix_script,,
review_only,24285,,,,745.06,2025-09-10,unknown,fix_script,,
review_only,24287,,,,250.00,2025-09-18,unknown,fix_script,,
review_only,24288,,,,788.69,2025-06-12,unknown,fix_script,,
review_only,24289,,,,100.00,2025-11-06,unknown,fix_script,,
review_only,24291,,,,902.35,2025-06-09,unknown,fix_script,,
review_only,24292,,,,250.00,2025-08-20,unknown,fix_script,,
review_only,24293,,,,205.00,2025-01-23,unknown,fix_script,,
review_only,24295,25008,,,157.50,2025-07-04,unknown,fix_script,,
review_only,24304,,,,500.00,2025-09-01,unknown,fix_script,,
review_only,24305,,,,200.00,2025-10-03,unknown,fix_script,,
review_only,24308,24848,,,626.80,2025-06-05,unknown,fix_script,,
review_only,24309,,,,8.40,2025-08-22,unknown,fix_script,,
review_only,24310,,,,258.75,2025-07-04,unknown,fix_script,,
review_only,24314,,,,373.00,2025-06-19,unknown,fix_script,,
review_only,24315,24880,,,82.50,2025-06-13,unknown,fix_script,,
review_only,24317,,,,25.00,2025-07-30,unknown,fix_script,,
review_only,24318,,,,453.86,2025-06-13,unknown,fix_script,,
review_only,24319,,,,529.37,2025-09-30,unknown,fix_script,,
review_only,24323,,,,150.00,2025-08-27,unknown,fix_script,,
review_only,24324,,,,857.71,2025-08-26,unknown,fix_script,,
review_only,24327,24951,,,234.94,2025-07-03,unknown,fix_script,,
review_only,24328,,,,205.00,2025-08-18,unknown,fix_script,,
review_only,24330,,,,8.00,2025-10-16,unknown,fix_script,,
review_only,24333,,,,75.00,2025-06-16,unknown,fix_script,,
review_only,24335,,,,205.00,2025-05-26,unknown,fix_script,,
review_only,24336,,,,630.00,2025-08-13,unknown,fix_script,,
review_only,24339,,,,300.00,2025-08-13,unknown,fix_script,,
review_only,24342,,,,886.83,2025-10-22,unknown,fix_script,,
review_only,24347,,,,468.00,2025-08-11,unknown,fix_script,,
review_only,24354,24924,,,358.32,2025-06-23,unknown,fix_script,,
review_only,24356,25082,,,250.00,2025-07-18,unknown,fix_script,,
review_only,24357,25003,,,337.75,2025-07-04,unknown,fix_script,,
review_only,24361,,,,175.00,2025-06-16,unknown,fix_script,,
review_only,24367,,,,938.19,2025-05-02,unknown,fix_script,,
review_only,24368,25065,,,580.16,2025-07-15,unknown,fix_script,,
review_only,24369,24945,,,199.50,2025-07-02,unknown,fix_script,,
review_only,24376,,,,250.00,2025-08-28,unknown,fix_script,,
review_only,24379,,,,120.00,2025-06-16,unknown,fix_script,,
review_only,24380,,,,245.88,2025-06-23,unknown,fix_script,,
review_only,24381,,,,500.00,2025-09-03,unknown,fix_script,,
review_only,24386,,,,690.10,2025-09-25,unknown,fix_script,,
review_only,24389,,,,75.00,2025-08-22,unknown,fix_script,,
review_only,24390,25076,,,210.00,2025-07-17,unknown,fix_script,,
review_only,24392,,,,661.50,2025-09-01,unknown,fix_script,,
review_only,24396,,,,300.00,2025-05-28,unknown,fix_script,,
review_only,24398,,,,75.00,2025-06-05,unknown,fix_script,,
review_only,24399,,,,220.00,2025-09-02,unknown,fix_script,,
review_only,24401,24910,,,250.00,2025-06-18,unknown,fix_script,,
review_only,24402,,,,858.00,2025-05-01,unknown,fix_script,,
review_only,24403,,,,933.96,2025-07-31,unknown,fix_script,,
review_only,24406,,,,405.21,2025-06-25,unknown,fix_script,,
review_only,24408,,,,330.00,2025-09-10,unknown,fix_script,,
review_only,24409,,,,450.00,2025-07-21,unknown,fix_script,,
review_only,24411,24847,,,181.53,2025-06-05,unknown,fix_script,,
review_only,24412,,,,500.00,2025-07-10,unknown,fix_script,,
review_only,24414,,,,30.00,2025-09-29,unknown,fix_script,,
review_only,24420,,,,175.00,2025-07-04,unknown,fix_script,,
review_only,24425,,,,192.00,2025-07-30,unknown,fix_script,,
review_only,24428,,,,791.50,2025-10-09,unknown,fix_script,,
review_only,24429,,,,68.04,2025-09-02,unknown,fix_script,,
review_only,24431,,,,205.00,2025-09-15,unknown,fix_script,,
review_only,24433,,,,99.22,2025-06-12,unknown,fix_script,,
review_only,24434,,,,205.00,2025-05-07,unknown,fix_script,,
review_only,24436,,,,45.94,2025-07-29,unknown,fix_script,,
review_only,24438,24944,,,105.00,2025-07-02,unknown,fix_script,,
review_only,24439,,,,300.00,2025-10-06,unknown,fix_script,,
review_only,24440,,,,1258.00,2025-11-06,unknown,fix_script,,
review_only,24442,,,,71.14,2025-05-15,unknown,fix_script,,
review_only,24443,,,,108.78,2025-07-04,unknown,fix_script,,
review_only,24447,,,,59.94,2025-06-30,unknown,fix_script,,
review_only,24448,,,,586.50,2025-06-04,unknown,fix_script,,
review_only,24449,,,,448.88,2025-06-18,unknown,fix_script,,
review_only,24450,25012,,,560.00,2025-07-04,unknown,fix_script,,
review_only,24453,,,,500.00,2025-06-16,unknown,fix_script,,
review_only,24454,,,,486.25,2025-10-02,unknown,fix_script,,
review_only,24457,,,,205.00,2025-05-08,unknown,fix_script,,
review_only,24459,,,,91.87,2025-06-30,unknown,fix_script,,
review_only,24460,,,,188.03,2025-06-04,unknown,fix_script,,
review_only,24461,,,,693.26,2025-05-30,unknown,fix_script,,
review_only,24462,,,,205.00,2025-10-03,unknown,fix_script,,
review_only,24463,,,,173.88,2025-07-03,unknown,fix_script,,
review_only,24465,,,,72.45,2025-05-23,unknown,fix_script,,
review_only,24469,,,,325.00,2025-08-13,unknown,fix_script,,
review_only,24470,25113,,,790.62,2025-07-25,unknown,fix_script,,
review_only,24474,,,,250.00,2025-05-23,unknown,fix_script,,
review_only,24475,,,,75.00,2025-08-22,unknown,fix_script,,
review_only,24476,,,,479.80,2025-09-22,unknown,fix_script,,
review_only,24477,,,,205.00,2025-05-21,unknown,fix_script,,
review_only,24478,,,,500.00,2025-10-06,unknown,fix_script,,
review_only,24480,,,,150.67,2025-09-09,unknown,fix_script,,
review_only,24482,,,,175.00,2025-04-30,unknown,fix_script,,
review_only,24484,,,,720.30,2025-05-26,unknown,fix_script,,
review_only,24485,,,,385.77,2025-09-17,unknown,fix_script,,
review_only,24488,,,,75.07,2025-04-01,unknown,fix_script,,
review_only,24489,25079,,,145.00,2025-07-18,unknown,fix_script,,
review_only,24490,,,,100.63,2025-05-28,unknown,fix_script,,
review_only,24491,,,,112.50,2025-08-19,unknown,fix_script,,
review_only,24492,24923,,,482.56,2025-06-23,unknown,fix_script,,
review_only,24494,25011,,,525.00,2025-07-04,unknown,fix_script,,
review_only,24496,,,,24.00,2025-08-13,unknown,fix_script,,
review_only,24497,,,,361.25,2025-10-21,unknown,fix_script,,
review_only,24498,,,,584.25,2025-10-15,unknown,fix_script,,
review_only,24499,25017,,,360.00,2025-07-04,unknown,fix_script,,
review_only,24500,,,,300.00,2025-10-27,unknown,fix_script,,
review_only,24501,,,,307.22,2025-09-22,unknown,fix_script,,
review_only,24503,,,,117.18,2025-08-08,unknown,fix_script,,
review_only,24504,,,,438.76,2025-10-08,unknown,fix_script,,
review_only,24508,,,,750.00,2025-07-04,unknown,fix_script,,
review_only,24513,25116,,,75.00,2025-07-28,unknown,fix_script,,
review_only,24514,,,,231.53,2025-05-29,unknown,fix_script,,
review_only,24515,,,,282.90,2025-10-06,unknown,fix_script,,
review_only,24516,25062,,,131.25,2025-07-15,unknown,fix_script,,
review_only,24518,25069,,,735.00,2025-07-16,unknown,fix_script,,
review_only,24519,,,,264.00,2025-08-15,unknown,fix_script,,
review_only,24520,,,,210.84,2025-07-30,unknown,fix_script,,
review_only,24523,,,,205.00,2025-09-02,unknown,fix_script,,
review_only,24524,,,,338.25,2025-07-08,unknown,fix_script,,
review_only,24525,,,,175.00,2025-06-15,unknown,fix_script,,
review_only,24530,,,,401.38,2025-03-28,unknown,fix_script,,
review_only,24531,25096,,,75.00,2025-07-22,unknown,fix_script,,
review_only,24534,24894,,,102.91,2025-06-16,unknown,fix_script,,
review_only,24535,,,,500.00,2025-10-03,unknown,fix_script,,
review_only,24538,,,,115.00,2025-10-10,unknown,fix_script,,
review_only,24539,,,,150.00,2025-10-08,unknown,fix_script,,
review_only,24541,,,,57.96,2025-06-24,unknown,fix_script,,
review_only,24543,,,,284.55,2025-06-25,unknown,fix_script,,
review_only,24544,,,,75.00,2025-06-02,unknown,fix_script,,
review_only,24548,,,,20.00,2025-09-03,unknown,fix_script,,
review_only,24550,,,,300.00,2025-06-27,unknown,fix_script,,
review_only,24551,,,,-500.00,2025-04-14,unknown,fix_script,,
review_only,24552,,,,205.00,2025-08-26,unknown,fix_script,,
review_only,24556,25110,,,800.00,2025-07-24,unknown,fix_script,,
review_only,24558,,,,250.00,2025-09-10,unknown,fix_script,,
review_only,24559,,,,75.00,2025-07-10,unknown,fix_script,,
review_only,24560,,,,175.00,2025-07-03,unknown,fix_script,,
review_only,24561,,,,512.00,2025-08-08,unknown,fix_script,,
review_only,24563,,,,920.85,2025-08-18,unknown,fix_script,,
review_only,24565,,,,976.26,2025-05-10,unknown,fix_script,,
review_only,24569,,,,1476.00,2025-10-06,unknown,fix_script,,
review_only,24571,,,,75.00,2025-06-12,unknown,fix_script,,
review_only,24572,25072,,,374.90,2025-07-17,unknown,fix_script,,
review_only,24576,25109,,,210.00,2025-07-24,unknown,fix_script,,
review_only,24578,,,,419.66,2025-09-10,unknown,fix_script,,
review_only,24579,25085,,,57.50,2025-07-18,unknown,fix_script,,
review_only,24580,,,,943.64,2025-06-13,unknown,fix_script,,
review_only,24583,,,,327.75,2025-11-05,unknown,fix_script,,
review_only,24584,,,,115.76,2025-05-28,unknown,fix_script,,
review_only,24585,,,,7.35,2025-05-28,unknown,fix_script,,
review_only,24586,24904,,,425.17,2025-06-18,unknown,fix_script,,
review_only,24593,25093,,,21.00,2025-07-22,unknown,fix_script,,
review_only,24596,,,,250.00,2025-06-04,unknown,fix_script,,
review_only,24597,,,,205.00,2025-09-29,unknown,fix_script,,
review_only,24598,,,,742.54,2025-08-13,unknown,fix_script,,
review_only,24618,,,,234.00,2025-03-24,unknown,fix_script,,
review_only,24620,,,,100.00,2025-10-15,unknown,fix_script,,
review_only,24621,,,,250.00,2025-05-02,unknown,fix_script,,
review_only,24624,,,,413.04,2025-09-17,unknown,fix_script,,
review_only,24626,24946,,,235.88,2025-07-02,unknown,fix_script,,
review_only,24628,,,,250.00,2025-08-16,unknown,fix_script,,
review_only,24629,,,,195.00,2025-06-18,unknown,fix_script,,
review_only,24631,,,,315.00,2025-08-13,unknown,fix_script,,
review_only,24632,,,,105.00,2025-09-17,unknown,fix_script,,
review_only,24635,,,,551.48,2025-05-09,unknown,fix_script,,
review_only,24636,25018,,,788.06,2025-07-04,unknown,fix_script,,
review_only,24638,,,,156.00,2025-07-28,unknown,fix_script,,
review_only,24641,,,,200.00,2025-06-12,unknown,fix_script,,
review_only,24644,,,,382.50,2025-09-22,unknown,fix_script,,
review_only,24645,,,,300.00,2025-10-22,unknown,fix_script,,
review_only,24646,,,,75.00,2025-03-21,unknown,fix_script,,
review_only,24647,,,,385.88,2025-08-25,unknown,fix_script,,
review_only,24648,,,,188.03,2025-02-03,unknown,fix_script,,
review_only,24651,,,,500.00,2025-09-29,unknown,fix_script,,
review_only,24652,,,,262.50,2025-09-02,unknown,fix_script,,
review_only,24653,,,,683.63,2025-11-03,unknown,fix_script,,
review_only,24654,,,,141.75,2025-08-25,unknown,fix_script,,
review_only,24659,,,,235.88,2025-07-31,unknown,fix_script,,
review_only,24660,,,,600.00,2025-11-04,unknown,fix_script,,
review_only,24661,,,,77.70,2025-05-16,unknown,fix_script,,
review_only,24662,,,,8.82,2025-09-15,unknown,fix_script,,
review_only,24663,,,,500.00,2025-10-03,unknown,fix_script,,
review_only,24664,,,,681.25,2025-09-17,unknown,fix_script,,
review_only,24665,,,,500.00,2025-09-17,unknown,fix_script,,
review_only,24668,,,,527.34,2025-09-10,unknown,fix_script,,
review_only,24673,,,,551.75,2025-10-06,unknown,fix_script,,
review_only,24676,,,,175.00,2025-08-01,unknown,fix_script,,
review_only,24677,,,,231.00,2025-09-16,unknown,fix_script,,
review_only,24678,,,,12.75,2025-08-20,unknown,fix_script,,
review_only,24680,25043,,,175.00,2025-07-10,unknown,fix_script,,
review_only,24684,25066,,,468.72,2025-07-15,unknown,fix_script,,
review_only,24685,24871,,,205.00,2025-06-12,unknown,fix_script,,
review_only,24690,,,,45.09,2025-06-06,unknown,fix_script,,
review_only,24693,,,,312.00,2025-10-14,unknown,fix_script,,
review_only,24698,25054,,,136.50,2025-07-11,unknown,fix_script,,
review_only,24699,,,,360.00,2025-11-03,unknown,fix_script,,
review_only,24701,,,,144.30,2025-05-08,unknown,fix_script,,
review_only,24702,,,,75.00,2025-08-20,unknown,fix_script,,
review_only,24706,,,,500.00,2025-09-15,unknown,fix_script,,
review_only,24708,,,,522.50,2025-05-01,unknown,fix_script,,
review_only,24710,25055,,,460.62,2025-07-11,unknown,fix_script,,
review_only,24711,25070,,,475.35,2025-07-16,unknown,fix_script,,
review_only,24715,,,,204.75,2025-09-01,unknown,fix_script,,
review_only,24720,25099,,,200.00,2025-07-22,unknown,fix_script,,
review_only,24721,25091,,,85.00,2025-07-22,unknown,fix_script,,
review_only,24722,,,,780.00,2025-09-02,unknown,fix_script,,
review_only,24725,,,,758.74,2025-09-09,unknown,fix_script,,
review_only,24726,,,,262.50,2025-09-12,unknown,fix_script,,
review_only,24728,,,,304.43,2025-11-03,unknown,fix_script,,
review_only,24729,,,,456.57,2025-05-15,unknown,fix_script,,
review_only,24730,,,,540.00,2025-09-10,unknown,fix_script,,
review_only,24731,24876,,,385.88,2025-06-12,unknown,fix_script,,
review_only,24732,25022,,,379.50,2025-07-04,unknown,fix_script,,
review_only,24733,,,,970.85,2025-09-30,unknown,fix_script,,
review_only,24734,25045,,,150.00,2025-07-10,unknown,fix_script,,
review_only,24735,,,,587.50,2025-09-02,unknown,fix_script,,
review_only,24737,,,,126.00,2025-09-17,unknown,fix_script,,
review_only,24740,,,,575.00,2025-05-22,unknown,fix_script,,
review_only,24741,,,,105.00,2025-09-17,unknown,fix_script,,
review_only,24742,,,,175.00,2025-07-18,unknown,fix_script,,
review_only,24743,,,,315.00,2025-08-20,unknown,fix_script,,
review_only,24747,,,,250.00,2025-06-09,unknown,fix_script,,
review_only,24749,24955,,,175.00,2025-07-03,unknown,fix_script,,
review_only,24750,,,,1722.00,2025-10-27,unknown,fix_script,,
review_only,24754,,,,948.30,2025-11-02,unknown,fix_script,,
review_only,24756,,,,175.00,2025-09-03,unknown,fix_script,,
review_only,24757,,,,55.45,2025-09-29,unknown,fix_script,,
review_only,24758,25098,,,780.00,2025-07-22,unknown,fix_script,,
review_only,24759,,,,617.80,2025-06-10,unknown,fix_script,,
review_only,24760,,,,300.00,2025-06-03,unknown,fix_script,,
review_only,24762,,,,330.00,2025-07-25,unknown,fix_script,,
review_only,24771,,,,150.00,2025-08-22,unknown,fix_script,,
review_only,24772,,,,67.62,2025-05-14,unknown,fix_script,,
review_only,24774,,,,250.00,2025-08-12,unknown,fix_script,,
review_only,24775,,,,500.00,2025-09-22,unknown,fix_script,,
review_only,24776,,,,826.00,2025-08-28,unknown,fix_script,,
review_only,24778,25092,,,120.00,2025-07-22,unknown,fix_script,,
review_only,24781,,,,409.50,2025-07-29,unknown,fix_script,,
review_only,24782,,,,500.00,2025-07-24,unknown,fix_script,,
review_only,24783,,,,250.00,2025-06-18,unknown,fix_script,,
review_only,24786,,,,650.00,2025-08-15,unknown,fix_script,,
review_only,24787,,,,205.00,2025-10-03,unknown,fix_script,,
review_only,24788,,,,94.19,2025-05-07,unknown,fix_script,,
review_only,24789,,,,205.00,2025-10-09,unknown,fix_script,,
review_only,24790,,,,323.26,2025-08-15,unknown,fix_script,,
review_only,24792,,,,1.00,2025-08-13,unknown,fix_script,,
review_only,24793,25083,,,250.00,2025-07-18,unknown,fix_script,,
review_only,24794,,,,386.24,2025-06-16,unknown,fix_script,,
review_only,24795,,,,300.00,2025-10-08,unknown,fix_script,,
review_only,24796,,,,258.50,2024-12-30,unknown,fix_script,,
review_only,24799,,,,767.74,2025-08-25,unknown,fix_script,,
review_only,24801,24875,,,852.27,2025-06-12,unknown,fix_script,,
review_only,24802,,,,264.00,2025-09-03,unknown,fix_script,,
review_only,24803,25039,,,117.00,2025-07-09,unknown,fix_script,,
review_only,24804,25051,,,231.00,2025-07-11,unknown,fix_script,,
review_only,24805,,,,630.01,2025-08-11,unknown,fix_script,,
review_only,24806,,,,180.00,2025-08-13,unknown,fix_script,,
review_only,24807,25030,,,367.05,2025-07-06,unknown,fix_script,,
review_only,24808,25103,,,187.50,2025-07-23,unknown,fix_script,,
review_only,24809,,,,353.12,2025-09-09,unknown,fix_script,,
review_only,24811,25056,,,702.00,2025-07-11,unknown,fix_script,,
review_only,24812,,,,-205.00,2025-10-09,unknown,fix_script,,
review_only,24814,,,,227.50,2025-08-07,unknown,fix_script,,
review_only,24816,,,,569.52,2025-08-18,unknown,fix_script,,
review_only,24818,,,,407.50,2025-09-26,unknown,fix_script,,
review_only,24822,24919,,,415.62,2025-06-23,unknown,fix_script,,
review_only,24823,25036,,,156.00,2025-07-14,unknown,fix_script,,
review_only,24825,,,,42.00,2025-08-05,unknown,fix_script,,
